sideline_player_id,espn_athlete_id,player_name,position,class_year,jersey,school_id,school,school_slug,conference,nil_value_usd,nil_source,recruit_stars,sideline_overall_rank
5108031,5108031,Eli Yofan,G,Senior,8,193,Miami (OH),miami-oh,MAC,354500,modeled,,
5106265,5106265,Dorian Finister,G,Junior,3,309,Louisiana,louisiana,Sun Belt,354000,modeled,,
5188026,5188026,Luke Haupt,G,Senior,3,167,New Mexico,new-mexico,Mountain West,354000,modeled,,
5101673,5101673,Jovan Milicevic,F,Sophomore,24,2752,Xavier,xavier,Big East,353000,modeled,,
5313914,5313914,Vaughn Weems,G,Junior,7,2440,Nevada,nevada,Mountain West,353000,modeled,,
5313030,5313030,Mantas Juzenas,G,Freshman,6,2608,Saint Mary's,saint-marys,West Coast,353000,modeled,,
4712838,4712838,Leland Walker,G,Senior,5,2751,Wyoming,wyoming,Mountain West,353000,modeled,,
5238184,5238184,Samet Yigitoglu,C,Sophomore,24,2567,SMU,smu,ACC,352000,modeled,,
5196877,5196877,Matt Able,G,Freshman,3,152,NC State,nc-state,ACC,350000,modeled,,
5243214,5243214,Brody Kozlowski,F,Sophomore,4,252,BYU,byu,Big 12,350000,modeled,,
5142360,5142360,Braden Pierce,C,Sophomore,17,222,Villanova,villanova,Big East,350000,modeled,,
5105973,5105973,Jimmy Ball,G,Senior,30,227,Rhode Island,rhode-island,Atlantic 10,350000,modeled,,
5174580,5174580,Vincent Ricchiuti,F,Junior,9,154,Wake Forest,wake-forest,ACC,349000,modeled,,
5175889,5175889,Justin Cross,F,Senior,25,2305,Kansas,kansas,Big 12,348000,modeled,,
5312261,5312261,Matthew MacLellan,F,Senior,34,87,Notre Dame,notre-dame,ACC,347000,modeled,,
5105412,5105412,Federiko Federiko,F,Senior,33,245,Texas A&M,texas-am,SEC,346000,modeled,,
5313375,5313375,Cahmai Crosby,G,Junior,2,249,North Texas,north-texas,American,346000,modeled,,
5108069,5108069,Jalen Bolden,G,Senior,5,326,Texas State,texas-state,Pac-12,345500,modeled,,
4873219,4873219,Jacob Cofie,F,Sophomore,6,30,USC,usc,Big Ten,345000,modeled,,
5240537,5240537,Assane Mbaye,C,Sophomore,35,2550,Seton Hall,seton-hall,Big East,345000,modeled,,
5108010,5108010,Elmore James IV,G,Senior,1,2050,Ball State,ball-state,MAC,344000,modeled,,
5109791,5109791,Brendan Yarusso,G,Senior,50,2541,Santa Clara,santa-clara,West Coast,343000,modeled,,
5241257,5241257,James Evans Jr.,G,Freshman,5,2463,Cal State Northridge,cal-state-northridge,Big West,343000,modeled,3.0,
5313049,5313049,Emanuel Prospere II,G,Senior,5,28,UC San Diego,uc-san-diego,Big West,343000,modeled,,
5313265,5313265,Isaiah Williams,G,Senior,21,2502,Portland State,portland-state,Big Sky,342250,modeled,3.0,
5174982,5174982,Berke Buyuktuncel,F,Junior,9,158,Nebraska,nebraska,Big Ten,342000,modeled,,
5060733,5060733,Divine Ugochukwu,G,Sophomore,99,127,Michigan State,michigan-state,Big Ten,342000,modeled,,
5174566,5174566,Benjamin Mayhew,F,Junior,35,221,Pittsburgh,pittsburgh,ACC,342000,modeled,,
5107781,5107781,Braden Appelhans,G,Junior,0,2181,Drake,drake,Missouri Valley,342000,modeled,,
4565204,4565204,Duncan Powell,F,Senior,31,2507,Providence,providence,Big East,342000,modeled,,
5174636,5174636,Dasear Haskins,G,Sophomore,7,2603,Saint Joseph's,saint-josephs,Atlantic 10,342000,modeled,,
4898256,4898256,Brent Bland,G,Senior,1,2612,Saint Peter's,saint-peters,MAAC,342000,modeled,,
5144372,5144372,Isaiah Brown,G,Sophomore,20,57,Florida,florida,SEC,341000,modeled,,
5240256,5240256,Halvine Dzellat,C,Sophomore,65,2132,Cincinnati,cincinnati,Big 12,340000,modeled,,
5313147,5313147,Noah Otshudi,G,Senior,5,276,Marshall,marshall,Sun Belt,340000,modeled,,
5107317,5107317,Jackson Paveletzke,G,Senior,13,195,Ohio,ohio,MAC,340000,modeled,,
4703415,4703415,Marcus Fitzgerald Jr.,G,Senior,1,55,Jacksonville State,jacksonville-state,Conference USA,339750,modeled,,
4684986,4684986,Favour Aire,C,Senior,2,2154,Coppin State,coppin-state,MEAC,339750,modeled,,
5174570,5174570,Hunter Adam,G,Junior,12,2166,Davidson,davidson,Atlantic 10,339000,modeled,,
5314720,5314720,Garrett Nuckolls,G,Junior,10,2501,Portland,portland,West Coast,339000,modeled,,
4702629,4702629,Andre Henry,G,Senior,4,300,UC Irvine,uc-irvine,Big West,338500,modeled,,
4894462,4894462,Jaylen Crocker-Johnson,F,Junior,5,135,Minnesota,minnesota,Big Ten,338000,modeled,,
